id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
15515643,98309015,Martin,Pittwater,-33.64098194,151.3131883,Entire home/apt,349,7,1,4/1/17,0.33,1,90,5,100
6928748,14989204,Karena,Pittwater,-33.63096599,151.3314991,Entire home/apt,200,2,13,17/2/17,0.66,2,350,3,75
15059917,30021442,Northern Beaches Holidays,Pittwater,-33.62135622,151.3188236,Entire home/apt,850,7,0,,,34,364,4,
12766826,15581699,Maryellen,Pittwater,-33.63108316,151.3263184,Entire home/apt,171,5,0,,,1,0,5,
16216438,20582809,Megan,Pittwater,-33.65380701,151.3112579,Entire home/apt,713,7,1,3/1/17,0.32,19,59,3,100
17560991,119204463,Matt & Naomi,Pittwater,-33.62588647,151.3403248,Entire home/apt,1000,4,0,,,1,56,6,
1764733,1449119,Zoe,Pittwater,-33.61741244,151.3337741,Entire home/apt,330,7,16,23/2/17,0.4,1,325,4,91
10141270,52044116,Jennifer,Pittwater,-33.62934348,151.3362057,Entire home/apt,219,2,2,3/1/16,0.13,1,0,2,80
15573885,100319954,Helen,Pittwater,-33.6527877,151.3198702,Entire home/apt,280,7,1,5/1/17,0.33,1,50,3,100
6092950,31501956,Natalie,Pittwater,-33.66080938,151.3202696,Entire home/apt,120,2,12,4/3/17,0.61,1,355,2,96
15451635,52694438,Rick,Pittwater,-33.64206667,151.2937075,Entire home/apt,1500,3,0,,,1,351,9,
8454503,44358127,Jacqui,Pittwater,-33.6368252,151.3313332,Entire home/apt,160,2,21,5/3/17,1.32,1,153,1,94
8257918,43549231,Johanna,Pittwater,-33.68783871,151.2952279,Entire home/apt,194,4,14,23/2/17,0.82,1,362,3,94
852229,4449501,Wendy,Pittwater,-33.61512598,151.3278916,Entire home/apt,1000,7,9,18/1/15,0.18,2,0,4,78
12058917,42816963,Jason,Pittwater,-33.64428041,151.3191931,Entire home/apt,393,5,2,28/1/17,0.66,1,96,6,100
14614860,22701264,Hannah,Pittwater,-33.62896697,151.3365476,Entire home/apt,495,2,6,12/3/17,0.99,1,321,8,96
4325710,22462144,Lindsay & Sharyn,Pittwater,-33.6549689,151.3063253,Entire home/apt,950,7,0,,,1,0,4,
9098307,47434027,Laura,Pittwater,-33.69085964,151.3025706,Entire home/apt,524,3,1,19/3/16,0.08,1,0,4,
12256225,30021442,Northern Beaches Holidays,Pittwater,-33.64844278,151.3233428,Entire home/apt,750,2,2,29/10/16,0.32,34,359,6,100
4260877,6551607,Paul,Pittwater,-33.65411636,151.3155917,Entire home/apt,240,1,36,24/3/17,1.34,1,237,3,96
853445,4456548,Michelle,Pittwater,-33.64784553,151.3200666,Entire home/apt,145,2,133,25/3/17,2.9,1,351,9,97
12977708,15324913,Jill And Mick,Pittwater,-33.62035958,151.33511,Entire home/apt,350,3,10,19/3/17,1.64,1,301,3,98
3167854,16067918,Michelli,Pittwater,-33.70922081,151.295577,Private room,66,2,7,10/2/17,0.53,2,364,1,97
14157479,85590996,Olivera And David,Pittwater,-33.68795532,151.303111,Entire home/apt,499,10,0,,,1,117,8,
14221811,30021442,Northern Beaches Holidays,Pittwater,-33.64361173,151.3277489,Entire home/apt,1332,3,1,4/3/17,1,34,351,8,100
10191224,43987097,Linda,Pittwater,-33.66122033,151.3186682,Entire home/apt,121,6,2,18/3/17,0.29,1,332,2,100
16124062,80138377,Nick,Pittwater,-33.65366737,151.3218551,Entire home/apt,210,2,8,9/3/17,2.22,1,160,4,85
2099368,10707598,Janelle,Pittwater,-33.66418442,151.3210891,Entire home/apt,220,2,94,13/3/17,2.42,1,332,1,98
16517361,36238240,Tim,Pittwater,-33.62795583,151.3163599,Entire home/apt,100,6,2,31/3/17,0.81,1,122,1,40
10553708,49039691,Katie,Pittwater,-33.63922576,151.3107532,Entire home/apt,551,7,2,29/4/16,0.17,1,0,5,90
7421951,13689928,Catherine,Pittwater,-33.61715883,151.3355339,Entire home/apt,650,5,1,15/1/16,0.07,1,0,5,100
15314015,34886878,Guy,Pittwater,-33.63731863,151.313436,Entire home/apt,176,1,34,23/3/17,5.93,1,337,2,100
16591989,109301746,Melissa,Pittwater,-33.70362512,151.2902343,Entire home/apt,1100,3,0,,,1,358,6,
12258063,30021442,Northern Beaches Holidays,Pittwater,-33.64419704,151.3289798,Entire home/apt,901,2,0,,,34,350,6,
15862554,41374633,David,Pittwater,-33.60441487,151.3238842,Private room,180,2,5,3/3/17,1.16,1,181,1,92
10464404,43218877,Sue,Pittwater,-33.69692356,151.3090831,Entire home/apt,350,4,1,15/1/17,0.38,11,302,5,100
9177970,37448420,Helen,Pittwater,-33.64709296,151.3074251,Entire home/apt,700,2,16,31/3/17,1.05,1,352,4,95
12258251,30021442,Northern Beaches Holidays,Pittwater,-33.62613394,151.3395483,Entire home/apt,1000,7,0,,,34,365,7,
16976870,69586370,Maree-Louise,Pittwater,-33.68146712,151.3035157,Entire home/apt,201,5,0,,,1,102,3,
5377028,23047249,Libby,Pittwater,-33.65018615,151.3064259,Private room,180,2,5,29/12/16,0.19,1,365,1,92
16059408,11714119,Nathan,Pittwater,-33.67167313,151.2916723,Entire home/apt,300,3,1,21/1/17,0.41,1,363,2,100
12258548,30021442,Northern Beaches Holidays,Pittwater,-33.63156903,151.3339807,Entire home/apt,800,3,1,12/4/16,0.08,34,337,4,100
13569272,23762163,Meike,Pittwater,-33.66159834,151.3122656,Entire home/apt,90,1,28,1/4/17,3.32,1,154,1,98
1051911,5791789,Trisha,Pittwater,-33.64110787,151.3125179,Entire home/apt,250,4,4,13/12/15,0.13,1,365,4,95
16125195,20193505,Jenny,Pittwater,-33.64376305,151.3092736,Private room,100,2,3,4/1/17,0.88,1,0,3,100
11799778,26317843,Pennie,Pittwater,-33.62235116,151.3347573,Entire home/apt,250,1,38,26/2/17,3.06,1,362,1,99
14361652,23133139,Miranda,Pittwater,-33.65891395,151.2972868,Entire home/apt,269,2,6,11/3/17,0.97,1,362,2,93
7549109,39562653,Dianne,Pittwater,-33.61968822,151.3193028,Entire home/apt,450,1,5,9/11/16,0.25,1,358,2,100
5907533,26930147,Kathy,Pittwater,-33.60652857,151.324305,Entire home/apt,750,2,13,21/12/16,0.73,1,31,4,97
8924649,46667543,Lucy,Pittwater,-33.60352888,151.3291937,Entire home/apt,1000,2,18,19/12/16,1.13,1,328,7,98
4662381,6631348,Nick,Pittwater,-33.62512507,151.3366172,Entire home/apt,400,7,0,,,1,365,4,
11538681,8542995,Rob & Cathy,Pittwater,-33.69849396,151.2902451,Entire home/apt,220,3,0,,,1,0,3,
7999743,42228595,Paul And Tracy,Pittwater,-33.63490357,151.2916034,Private room,149,2,35,25/3/17,1.85,3,359,1,99
5708475,29186700,Colin,Pittwater,-33.64915873,151.3199427,Entire home/apt,600,3,2,2/1/16,0.13,1,0,3,100
5118661,26453809,Kammi,Pittwater,-33.67396567,151.3145004,Entire home/apt,1100,3,1,3/1/17,0.33,1,104,6,100
15606947,18352155,Jessica,Pittwater,-33.702974,151.2804565,Entire home/apt,250,7,0,,,1,84,3,
15148233,28197237,Rowena,Pittwater,-33.62745671,151.2871064,Entire home/apt,430,4,0,,,2,174,5,
14954105,3452873,Shannon,Pittwater,-33.63089351,151.3369831,Entire home/apt,350,4,5,2/4/17,0.82,1,353,4,96
9252474,20582809,Megan,Pittwater,-33.67268683,151.3146063,Entire home/apt,700,3,2,15/2/17,0.14,19,299,4,100
13116763,61035251,Adrian,Pittwater,-33.61728322,151.317643,Private room,125,1,11,25/3/17,2.09,1,354,1,100
4326148,17472993,Alison,Pittwater,-33.61827404,151.3352282,Entire home/apt,275,7,11,14/1/17,0.53,1,358,2,95
12920184,66970711,Lynne,Pittwater,-33.60926125,151.3282348,Private room,250,1,18,11/3/17,1.67,4,353,1,95
11240203,50142518,Petah,Pittwater,-33.64119076,151.3206317,Private room,73,1,1,5/11/16,0.2,4,365,1,100
6364143,33161103,Siobhan,Pittwater,-33.70738369,151.2917706,Entire home/apt,400,3,1,31/3/16,0.08,1,363,4,100
1910165,9912170,Megan,Pittwater,-33.65901897,151.3208945,Private room,160,1,63,4/3/17,1.56,2,245,1,96
14951907,12252725,Richard,Pittwater,-33.63899417,151.3319272,Entire home/apt,600,3,30,1/4/17,4.79,1,233,4,99
12857112,70226564,Richard,Pittwater,-33.61285102,151.3303154,Entire home/apt,558,5,2,5/1/17,0.24,1,77,4,100
